U_star, Amplitude, DOF_ID (1=Heave 2=Pitch 3=Flap)
2.574681,0.223671,1.000000
2.574681,0.223832,1.000000
2.574681,0.223972,1.000000
2.574681,0.224099,1.000000
2.574681,0.224212,1.000000
2.574681,0.224311,1.000000
2.574681,0.224400,1.000000
2.574681,0.224478,1.000000
2.574681,0.224548,1.000000
2.574681,0.224611,1.000000
2.574681,0.224665,1.000000
2.574681,0.224715,1.000000
2.574681,0.224758,1.000000
2.574681,0.224797,1.000000
2.580848,0.224927,1.000000
2.580848,0.225119,1.000000
2.580848,0.225287,1.000000
2.580848,0.225439,1.000000
2.580848,0.225572,1.000000
2.580848,0.225690,1.000000
2.580848,0.225797,1.000000
2.580848,0.225890,1.000000
2.580848,0.225974,1.000000
2.580848,0.226048,1.000000
2.580848,0.226113,1.000000
2.580848,0.226172,1.000000
2.580848,0.226224,1.000000
2.580848,0.226270,1.000000
2.587127,0.226379,1.000000
2.587127,0.226582,1.000000
2.587127,0.226763,1.000000
2.587127,0.226925,1.000000
2.587127,0.227067,1.000000
2.587127,0.227194,1.000000
2.587127,0.227307,1.000000
2.587127,0.227407,1.000000
2.587127,0.227496,1.000000
2.587127,0.227575,1.000000
2.587127,0.227645,1.000000
2.587127,0.227707,1.000000
2.587127,0.227762,1.000000
2.587127,0.227812,1.000000
2.593515,0.227839,1.000000
2.593515,0.228059,1.000000
2.593515,0.228256,1.000000
2.593515,0.228427,1.000000
2.593515,0.228582,1.000000
2.593515,0.228718,1.000000
2.593515,0.228839,1.000000
2.593515,0.228947,1.000000
2.593515,0.229042,1.000000
2.593515,0.229127,1.000000
2.593515,0.229203,1.000000
2.593515,0.229269,1.000000
2.593515,0.229329,1.000000
2.593515,0.229382,1.000000
2.600006,0.229307,1.000000
2.600006,0.229546,1.000000
2.600006,0.229756,1.000000
2.600006,0.229946,1.000000
2.600006,0.230111,1.000000
2.600006,0.230259,1.000000
2.600006,0.230392,1.000000
2.600006,0.230507,1.000000
2.600006,0.230611,1.000000
2.600006,0.230703,1.000000
2.600006,0.230784,1.000000
2.600006,0.230857,1.000000
2.600006,0.230921,1.000000
2.600006,0.230978,1.000000
2.606596,0.230772,1.000000
2.606596,0.231031,1.000000
2.606596,0.231265,1.000000
2.606596,0.231470,1.000000
2.606596,0.231652,1.000000
2.606596,0.231815,1.000000
2.606596,0.231957,1.000000
2.606596,0.232085,1.000000
2.606596,0.232199,1.000000
2.606596,0.232299,1.000000
